Page URL,Issue Type,Current Value,Issue Description,Recommendation,Priority
https://umiwellnesscenter.com/faqs/,Title Optimization,FAQs - Umi Wellness Center,Title too short,Expand title to include more descriptive keywords,Medium
https://umiwellnesscenter.com/,Meta Description,"[et_pb_column type=""1_5""",Meta description too short,Expand to 120-160 characters with compelling CTA,High
https://umiwellnesscenter.com/patient-advocacy-consulting/,Meta Description,Missing,Missing meta description,Expert patient advocacy services at Umi Wellness Center. Get professional support navigating healthcare systems. Contact us for consultation.,High
https://umiwellnesscenter.com/community-programs/,Meta Description,Missing,Missing meta description,Discover community programs - umi wellness center at Umi Wellness Center. Professional movement therapy and somatic practices to improve your wellbeing. Book your session today.,High
https://umiwellnesscenter.com/faqs/,Meta Description,Missing,Missing meta description,Expert patient advocacy services at Umi Wellness Center. Get professional support navigating healthcare systems. Contact us for consultation.,High
https://umiwellnesscenter.com/how-umi-works/,Meta Description,Missing,Missing meta description,Expert patient advocacy services at Umi Wellness Center. Get professional support navigating healthcare systems. Contact us for consultation.,High
https://umiwellnesscenter.com/offerings/,Meta Description,Missing,Missing meta description,Discover offerings - umi wellness center at Umi Wellness Center. Professional movement therapy and somatic practices to improve your wellbeing. Book your session today.,High
https://umiwellnesscenter.com/staff-volunteers/,Meta Description,Missing,Missing meta description,Expert patient advocacy services at Umi Wellness Center. Get professional support navigating healthcare systems. Contact us for consultation.,High
https://umiwellnesscenter.com/upcoming-umi-events/,Meta Description,Missing,Missing meta description,Discover upcoming umi events - umi wellness center at Umi Wellness Center. Professional movement therapy and somatic practices to improve your wellbeing. Book your session today.,High
https://umiwellnesscenter.com/rhythms-for-blues/,Meta Description,Missing,Missing meta description,Discover rhythms for blues - umi wellness center at Umi Wellness Center. Professional movement therapy and somatic practices to improve your wellbeing. Book your session today.,High
https://umiwellnesscenter.com/roads-we-travel/,Meta Description,Missing,Missing meta description,Discover roads we travel - umi wellness center at Umi Wellness Center. Professional movement therapy and somatic practices to improve your wellbeing. Book your session today.,High
https://umiwellnesscenter.com/contact-us/,Meta Description,Missing,Missing meta description,Discover contact us - umi wellness center at Umi Wellness Center. Professional movement therapy and somatic practices to improve your wellbeing. Book your session today.,High
https://umiwellnesscenter.com/,Image SEO,5/7 missing alt,Images without alt text,Add descriptive alt text to all images,Medium
https://umiwellnesscenter.com/offerings/classes/,Image SEO,3/5 missing alt,Images without alt text,Add descriptive alt text to all images,Medium
https://umiwellnesscenter.com/patient-advocacy-consulting/,Image SEO,2/4 missing alt,Images without alt text,Add descriptive alt text to all images,Medium
https://umiwellnesscenter.com/community-programs/,Image SEO,6/8 missing alt,Images without alt text,Add descriptive alt text to all images,Medium
https://umiwellnesscenter.com/faqs/,Image SEO,1/3 missing alt,Images without alt text,Add descriptive alt text to all images,Medium
https://umiwellnesscenter.com/how-umi-works/,Image SEO,2/4 missing alt,Images without alt text,Add descriptive alt text to all images,Medium
https://umiwellnesscenter.com/offerings/,Image SEO,6/8 missing alt,Images without alt text,Add descriptive alt text to all images,Medium
https://umiwellnesscenter.com/providers/,Image SEO,4/5 missing alt,Images without alt text,Add descriptive alt text to all images,Medium
https://umiwellnesscenter.com/staff-volunteers/,Image SEO,2/3 missing alt,Images without alt text,Add descriptive alt text to all images,Medium
https://umiwellnesscenter.com/upcoming-umi-events/,Image SEO,3/5 missing alt,Images without alt text,Add descriptive alt text to all images,Medium
https://umiwellnesscenter.com/zebra-heard/,Image SEO,1/3 missing alt,Images without alt text,Add descriptive alt text to all images,Medium
https://umiwellnesscenter.com/rhythms-for-blues/,Image SEO,1/3 missing alt,Images without alt text,Add descriptive alt text to all images,Medium
https://umiwellnesscenter.com/roads-we-travel/,Image SEO,2/4 missing alt,Images without alt text,Add descriptive alt text to all images,Medium
https://umiwellnesscenter.com/contact-us/,Image SEO,1/3 missing alt,Images without alt text,Add descriptive alt text to all images,Medium
